u	RehFC	RehFCgeo
91.	-0.01690505787119458	0.019975131445020153
92.	-0.020190375264037805	0.011751764801805287
93.	-0.023780156538358722	0.002320846983329661
94.	-0.02657125973622664	-0.007936485300515486
95.	-0.027552588446714356	-0.018517507436583643
96.	-0.025958502579149008	-0.02885015185081134
97.	-0.021370953797858427	-0.038354487547870644
98.	-0.013763423760063996	-0.046504367861347234
99.	-0.003492933778696347	-0.052880577727086694
100.	0.00874753363653429	-0.057208648556179735
101.	0.02200493928316933	-0.05937732803059871
102.	0.03516389587401476	-0.05943686813512845
103.	0.04706320815336997	-0.05757919095842132
104.	0.056627078973300216	-0.0541041166650464
105.	0.06300050033101413	-0.049376954648811595
106.	0.06566991127374906	-0.04378291704376714
107.	0.06454453325699978	-0.03768329487454967
108.	0.059975224962711224	-0.031377528899492774
109.	0.05269781689712058	-0.0250745488341166
110.	0.04370458264026551	-0.018876204477952324
111.	0.034065708349976534	-0.012775185695502175
112.	0.02473633611713122	-0.006669232602071649
113.	0.016389443837212653	-0.00039229901354139357
114.	0.009309107397031594	0.006238622455046337
115.	0.0033646726707707002	0.013365076127860118
116.	-0.0019314531516081907	0.021024394288067388
117.	-0.007296284954979088	0.029092821160616403
118.	-0.013504578313684177	0.03724641186864821
119.	-0.021203810891177507	0.04495122078720646
120.	-0.030746176843527373	0.051491290110744874
121.	-0.04206351574123226	0.056037391763560485
122.	-0.05460446884389903	0.057752112585877896
123.	-0.06734529635894385	0.055919054593735314
124.	-0.07887690204999814	0.05007733447812794
125.	-0.08756075697231076	0.040138837533060266
126.	-0.09173625616478769	0.026465963534861376
127.	-0.08995317192847019	0.009892242361673144
128.	-0.08119742909623383	-0.008323410847536518
129.	-0.06507819691272161	-0.02660735986422661
130.	-0.04194970757775734	-0.04323447059599206
131.	-0.012950939692941879	-0.05652250247766518
132.	0.020042337644992282	-0.06503088968124382
133.	0.05454856398781559	-0.06773636802747846
134.	0.08768276427213968	-0.06416175946230762
135.	0.11641448185796938	-0.05444176262596409
136.	0.1378624377162192	-0.03931919354550324
137.	0.14960303308438147	-0.020074880500590742
138.	0.1499637333744879	0.0015973800213119462
139.	0.13826564253782445	0.02375393617965844
140.	0.1149758761932595	0.044383312464186385
141.	0.08173417474190191	0.06158862332515443
142.	0.04123255551921673	0.0737545037455298
143.	-0.0030489830566426735	0.0796863512281079
144.	-0.047218753193453075	0.07871334148215157
145.	-0.08740445149415703	0.07074972642933443
146.	-0.12016893842218074	0.05631118796695856
147.	-0.14284561338062096	0.036484774995468185
148.	-0.15375050345576616	0.01285272276455168
149.	-0.15226064881570942	-0.012627217855003937
150.	-0.13877983854418371	-0.037779117572588
151.	-0.11463205364510004	-0.06039406601015693
152.	-0.08192359867167598	-0.07842916198318342
153.	-0.04339797981505892	-0.0902025290663237
154.	-0.0022818109757837463	-0.09456441182798339
155.	0.03790166536139221	-0.0910245868896692
156.	0.07358067614017934	-0.0798193209762996
157.	0.10145842497360502	-0.06190686299023541
158.	0.11889298207884899	-0.03888834469055722
159.	0.12427661923862594	-0.012859894121867317
160.	0.11733079740631837	0.013789615483947335
161.	0.0992307815032346	0.03861380126489569
162.	0.07250141857823135	0.059351397348154394
163.	0.04067703192576843	0.07414982042453146
164.	0.007778218816908584	0.08174575588070226
165.	-0.02229288199913244	0.08158425924698237
166.	-0.04631586839887366	0.07386523060468414
167.	-0.062163870211108425	0.059514295223253515
168.	-0.06899630863961721	0.04008299966085988
169.	-0.06722231375940425	0.01758991931232863
170.	-0.05827759266716461	-0.005680775831834728
171.	-0.04429052846298788	-0.027403719957234483
172.	-0.027718842651105507	-0.045438923413705645
173.	-0.011019603549184435	-0.058040072525832764
174.	0.003615597661089983	-0.06402575602061338
175.	0.01445727862291682	-0.06289759996975797
176.	0.020378894228075727	-0.05489318818706977
177.	0.02095278313215285	-0.04096669828039352
178.	0.016498784053172164	-0.02269638596050201
179.	0.008068274157468691	-0.002125185725818327
180.	-0.0026591235417228773	0.018451773083339028
181.	-0.013579253358855679	0.0367318925378915
182.	-0.022457506811669536	0.05065580621896225
