lambda	x	y	z
4.44	-1.2608167668910877260796518	2.752391509412930883262371245	1.91769683958038882980603356403
4.47	-1.486636510722422065768438396	2.514412013115164891669719685	2.02830336976131988975645919284
4.5	-1.690664323352407619840909467	2.255176381596741148121512193	2.12462421815036663904184139633
4.53	-1.870988985201641372623966093	1.977253557234241679316441142	2.20634049115500154032823667199
4.56	-2.02594989665002609684813837	1.683371120488927933777871705	2.27321610100441245451472459258
4.59	-2.154149738579592149013942061	1.376391291438641073203612951	2.32509648162163840503795944455
4.62	-2.254464854041702336038375842	1.059287786351179551085756975	2.36190709295593207470543049864
4.65	-2.326055606080880562561238557	0.735121183725290243236593835	2.38365176976251086291089376531
4.68	-2.368375817766240345833291857	0.407010844730981153155627092	2.39041096220274397937454844945
4.71	-2.3811786072718919945149226484	0.078104972113909364310968691	2.38233990497327951692672091513
4.74	-2.3645180466938084095978868166	-0.248447657895754517872253172	2.3596667395480736615496536976
4.77	-2.318748816316348246778478895	-0.56952348113524647103784678	2.32269060118342849981640395937
4.8	-2.244525165082032298738196303	-0.882050486585091846237639595	2.27177966927347696470841801928
4.83	-2.142797473909028858373214959	-1.183037659307447068285854845	2.20736916713274256486652771385
4.86	-2.014804376174362418238299852	-1.469605928445683001684852876	2.12995928597587167480903525733
4.89	-1.862061229876837267623738572	-1.739017024903795978044425102	2.04011299835963868326587961398
4.92	-1.686347302972540028218357538	-1.988699217474926047190914404	1.93845371916570327543301311439
4.95	-1.489691948925767876804208813	-2.216272102418617012522631827	1.82566276774757111308992953566
4.98	-1.274357422933042488372909552	-2.419572293279597835667974371	1.70247658343071414995231365287
5.01	-1.042816598038118683026520955	-2.596678975479464057085611838	1.56968364828828539552106714871
5.04	-0.797726868146306007072770705	-2.745936803640167737321060672	1.42812107600960306305179737265
5.07	-0.54190299648288083355884945	-2.865975022037854470262731208	1.27867083356697422495912968368
5.1	-0.27828980739679656101430154	-2.95572370671394000643179223	1.12225557294052597440996640578
5.13	-0.00993290630997068969289153	-3.01442809918065410309722096143	0.95983406290125128143993935125
5.16	0.26005455167260610237101204	-3.041660412512792912353776913	0.7923962251671864561467142477
5.19	0.52852845521020739476586095	-3.037327536633300992975563528	0.62095779441891821872932898549
5.22	0.79235085062288595743441641	-3.001673936128314706047309412	0.44655463690188898815190108147
