u	RehDH	RehDHgeo
145.	0.06938504782839498	0.07074972642933443
146.	0.05352667062077794	0.05631118796695856
147.	0.03233697255673381	0.036484774995468185
148.	0.007600564578707946	0.01285272276455168
149.	-0.018545912564924036	-0.012627217855003937
150.	-0.04379317937500853	-0.037779117572588
151.	-0.06585810664478982	-0.06039406601015693
152.	-0.08269119810351569	-0.07842916198318342
153.	-0.09267786808417784	-0.0902025290663237
154.	-0.09481322221297903	-0.09456441182798339
155.	-0.08882638984792471	-0.0910245868896692
156.	-0.07523157241432514	-0.0798193209762996
157.	-0.05529056913581284	-0.06190686299023541
158.	-0.030884995237748007	-0.03888834469055722
159.	-0.0043126668815714605	-0.012859894121867317
160.	0.021962861161943854	0.013789615483947335
161.	0.045572288979689575	0.03861380126489569
162.	0.0644732527468753	0.059351397348154394
163.	0.07712785596209633	0.07414982042453146
164.	0.0826115962762449	0.08174575588070226
165.	0.08065508921726744	0.08158425924698237
166.	0.07163051180808513	0.07386523060468414
167.	0.05649801199204085	0.059514295223253515
168.	0.036723624443982285	0.04008299966085988
169.	0.014172589656228933	0.01758991931232863
170.	-0.009024906475768753	-0.005680775831834728
171.	-0.03064034936680124	-0.027403719957234483
172.	-0.04854529419071633	-0.045438923413705645
173.	-0.06092967169967885	-0.058040072525832764
174.	-0.06651500789870982	-0.06402575602061338
175.	-0.0647281362848751	-0.06289759996975797
176.	-0.055799955367685505	-0.05489318818706977
177.	-0.04076312159248885	-0.04096669828039352
178.	-0.021340555610108235	-0.02269638596050201
179.	0.00026162110522083505	-0.002125185725818327
180.	0.021623966206147413	0.018451773083339028
181.	0.04040263452543468	0.0367318925378915
182.	0.05459333608396799	0.05065580621896225
183.	0.06273594577966574	0.05863513810738497
184.	0.0640407417809018	0.05972944862324895
185.	0.0584329441670591	0.0537496070535392
186.	0.04652365393677805	0.0412736579645957
187.	0.029520403299565415	0.02357267787103107
188.	0.009090352418756295	0.0024564090788993845
189.	-0.0128130126439162	-0.01994043574196151
190.	-0.03414929360815563	-0.04140232056265221
191.	-0.05300289937233345	-0.05987515771805
192.	-0.06778657521719643	-0.07367603254886249
193.	-0.07740960377573107	-0.08164606116420237
194.	-0.08138153476753059	-0.08323181437463976
195.	-0.07982858940269916	-0.07849199906918919
196.	-0.0734151743150159	-0.06803677693191583
197.	-0.0631840809576931	-0.05291541120678023
198.	-0.050349651088280496	-0.03447268764152596
199.	-0.036091196485739996	-0.014195405744988277
200.	-0.021393866004579223	0.00643234992531965
201.	-0.006969764316003011	0.02605138162841886
202.	0.006732651686349015	0.04351910927664408
203.	0.019450104072737378	0.05796850348694964
204.	0.030996583390569522	0.06883606276872055
205.	0.0411720521844773	0.07586311494548191
206.	0.049723882983504185	0.07907551170147949
207.	0.05637438514065738	0.07874644541598638
208.	0.06090045981122312	0.07534635447493494
209.	0.06322962999098504	0.06948334090949197
210.	0.06350857692056021	0.061837588738551684
211.	0.06210905208458381	0.0530939743171168
212.	0.05955858420150171	0.043878098014998604
213.	0.05641157327415729	0.03470182254615647
214.	0.05309981742849403	0.02592452656519193
215.	0.049811565978689056	0.017735273713579216
216.	0.046440992439985784	0.010158848377630574
217.	0.04262792471008606	0.003085357928360334
218.	0.03787846096306477	-0.003680606423884071
219.	0.031730905427762225	-0.01035868755177055
220.	0.023917210399403553	-0.017129197438562564
221.	0.014472350851116639	-0.024077893492877322
222.	0.0037614663481589992	-0.031158614485019245
223.	-0.007579297422905445	-0.03818040775833296
224.	-0.018766635846495204	-0.044821601369271706
225.	-0.029020133372442088	-0.05066857943103855
226.	-0.03769671266918364	-0.05527270480917273
227.	-0.04437766624311155	-0.05821573311749986
228.	-0.048894928663122686	-0.0591727630821795
229.	-0.051303009165860496	-0.05796248580187631
230.	-0.05181724037173404	-0.05457702732286324
231.	-0.05074371491297433	-0.04918745642596878
232.	-0.04842144304454203	-0.042125251128404304
233.	-0.04518634251412645	-0.0338438362990872
234.	-0.041354911862918446	-0.024867023050537722
235.	-0.037217627472844524	-0.015732401424375365
236.	-0.03303075964712119	-0.006937436539983336
237.	-0.028999944554177842	0.0011054865241702275
